message,product_price,player,round,decision,counteroffer
"Hi Bob, I'm excited to offer you a unique and valuable product that I think you'll really like. I'm looking to sell it to you for $150.",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thank you for the offer! I'm interested in the product, but I was thinking more along the lines of $100. Could you consider that price?",100.0,Bob,2,,
,,Alice,2,RejectOffer,120.0
"Hi Bob, thanks for your offer, but I'm afraid I'm not willing to go as low as $100. I'm willing to meet you halfway, though - I can do $120. Is that something you'd be interested in?",120.0,Alice,3,,
,,Bob,3,RejectOffer,
"Hi Alice, thank you for the counteroffer. I'm still a bit hesitant to go up to $120. How about we meet in the middle again? Could you do $110?",110.0,Bob,4,,
,,Alice,4,RejectOffer,130.0
"Hi Bob, I understand you're still a bit hesitant, but I'm not willing to go as low as $110. I'm willing to meet you halfway again, but I'll add a bit more to it. How about $130? I think it's a fair price for a great product like this.",130.0,Alice,5,,
,,Bob,5,RejectOffer,
"Hi Alice, I appreciate your willingness to meet me halfway again. However, I'm still not comfortable with $130. I'm willing to go up to $115, but that's as high as I can go. Can you consider that?",115.0,Bob,6,,
,,Alice,6,SellToJhon,
