message,product_price,player,round,decision
"Hi Bob, I'm excited to offer you this amazing product! It's a unique item that I think you'll really love. I'm willing to sell it to you for $200. This is a great deal, considering its value and quality. What do you think?",200.0,Alice,1,
,,Bob,1,RejectOffer
"I'm really interested in the product, but $200 is a bit out of my budget. I was thinking more along the lines of $150.",150.0,Bob,2,
,,Alice,2,RejectOffer
"Hi Bob, thank you for your offer! I understand that $200 might be a bit steep for you. However, I'm willing to meet you halfway. I can offer you the product for $175. This is a great compromise, considering the value and quality of the item. What do you think?",175.0,Alice,3,
,,Bob,3,RejectOffer
"I appreciate your willingness to meet me halfway, but $175 is still a bit out of my budget. I was thinking more along the lines of $140. I'm really interested in the product, but I have to be mindful of my expenses.",140.0,Bob,4,
,,Alice,4,RejectOffer
"Hi Bob, I understand your concerns about the price, and I'm willing to make another compromise. I can offer you the product for $160. This is a good balance between the value of the item and your budget. What do you think?",160.0,Alice,5,
,,Bob,5,RejectOffer
"I'm getting closer to being convinced, but I still think $160 is a bit high. I'm willing to meet you halfway from $160, so I'll offer $155. I really like the product, and I'm hoping we can come to a mutually beneficial agreement.",155.0,Bob,6,
,,Alice,6,RejectOffer
"Hi Bob, I appreciate your willingness to meet me halfway! I'm willing to make one more compromise. I can offer you the product for $157.50. This is a great deal, considering the value and quality of the item. What do you think?",157.5,Alice,7,
,,Bob,7,RejectOffer
"I appreciate your willingness to compromise, but I'm still a bit short on budget. I'm willing to meet you halfway from $157.50, so I'll offer $157. I really think this is a fair price for the product, and I'm hoping we can finalize the deal.",157.0,Bob,8,
,,Alice,8,SellToJhon
