message,product_price,player,round,decision
"Hello Bob, I'm excited to offer you this amazing product! I think you'll really love it. I'm willing to sell it to you for $150.",150.0,Alice,1,
,,Bob,1,RejectOffer
"Hi Alice, thank you for the offer. I'm interested in the product, but I was thinking more along the lines of $100. Could you consider that price?",100.0,Bob,2,
,,Alice,2,RejectOffer
"Hi Bob, thank you for your counteroffer. I appreciate your interest in the product. However, I'm afraid I can't go as low as $100. I'm willing to meet you halfway, so I'm offering it to you for $125.",125.0,Alice,3,
,,Bob,3,RejectOffer
"Hi Alice, thank you for the revised offer. I appreciate your willingness to meet me halfway. However, I'm still a bit above my budget. Could you consider $115? I'm really interested in the product and would like to make a deal.",115.0,Bob,4,
,,Alice,4,RejectOffer
"Hi Bob, thank you for your revised offer. I'm glad you're still interested in the product. However, I'm not quite ready to meet you at $115. I'm willing to come down a bit further, but I need to make sure I'm getting a fair price. I'm now offering it to you for $130.",130.0,Alice,5,
,,Bob,5,RejectOffer
"Hi Alice, thank you for the revised offer. I appreciate your willingness to come down further. However, I'm still a bit above my budget. I'm willing to meet you halfway between $115 and $130, which would be $122.50. Could you consider that price?",122.5,Bob,6,
,,Alice,6,RejectOffer
"Hi Bob, thank you for your revised offer. I see you're trying to find a middle ground. I'm willing to meet you at $125, which is a bit above your last offer, but I'm still not quite ready to go to $122.50. Let's see if we can find a sweet spot.",125.0,Alice,7,
,,Bob,7,RejectOffer
"Hi Alice, thank you for the revised offer. I'm getting close to my budget, but I'm still a bit above. I'm willing to meet you at $123. Could you consider that price?",123.0,Bob,8,
,,Alice,8,RejectOffer
"Hi Bob, thank you for your revised offer. I appreciate your persistence. I'm willing to meet you at $124, which is just a dollar above your last offer. Let's see if we can make a deal.",124.0,Alice,9,
,,Bob,9,RejectOffer
"Hi Alice, thank you for the revised offer. I'm getting close to my budget, but I'm still a bit above. I'm willing to meet you at $121. Could you consider that price?",121.0,Bob,10,
,,Alice,10,RejectOffer
