round_quality,product_worth,player,round,message,decision
low-quality,0.0,Nature,1,,
,,Alice,1,"Welcome to our store! I hope you're considering purchasing our current product. Please be aware that there's a 50% chance it's a high-quality item worth $12000 to you, but if it's low-quality, it has no value. The price is fixed at $10000, and we cannot provide refunds once the product is purchased. Thank you for your interest!",
,,the buyer,1,"Thank you for the information, Alice. I understand the risks involved and am willing to take a chance on the product's quality. I appreciate the transparency about the potential values. Let's proceed with the purchase.",yes
low-quality,0.0,Nature,2,,
,,Alice,2,"Hello and welcome! I'm glad you're considering another one of our products. Remember, there's a 50/50 chance this item could be high-quality, potentially worth $12000 to you, or low-quality, with no value. The fixed price is $10000, and we do not offer refunds post-purchase. Thank you for your trust and support!",
,,the buyer,2,"Thank you for the information, Alice. Based on the statistics and my understanding of the risks involved, I am willing to take the chance and purchase the product.",yes
low-quality,0.0,Nature,3,,
,,Alice,3,"Greetings! I'm pleased you're considering our product today. Please note, there's a 50% likelihood it could be high-quality, valued at $12000 by you, or low-quality with no value. The set price is $10000, and we do not provide refunds after purchase. Thank you for your decision-making and continued support.",
,,the buyer,3,"Thank you for the information, Alice. Based on the statistics and your recommendation, I am willing to take the risk and purchase the product. I appreciate your transparency and look forward to potentially receiving a high-quality item.",yes
low-quality,0.0,Nature,4,,
,,Alice,4,"Hello and welcome! I'm glad you're thinking about our product. Remember, there's a 50% chance it could be high-quality, potentially worth $12000 to you, or low-quality with no value. The price remains fixed at $10000, and we do not offer refunds after purchase. Thank you for your consideration and support.",
,,the buyer,4,"Thank you for the information, Alice. Based on the statistics and the potential value, I am willing to take the risk and purchase the product.",yes
low-quality,0.0,Nature,5,,
,,Alice,5,"Hello! I'm happy you're looking into our product. Please keep in mind, there's a 50% chance it could be high-quality, potentially worth $12000 to you, or low-quality with no value. The price is set at $10000, and we do not provide refunds after purchase. Thank you for your interest and support!",
,,the buyer,5,"Thank you for the information, Alice. Based on the statistics and your description, I am willing to take the risk and purchase the product. I appreciate the transparency and look forward to potentially benefiting from its high quality.",yes
low-quality,0.0,Nature,6,,
,,Alice,6,"Hello and welcome! I'm glad you're considering our product. Remember, there's a 50% chance it could be high-quality, potentially worth $12000 to you, or low-quality with no value. The price is fixed at $10000, and we do not offer refunds after purchase. Thank you for your decision-making and support!",
,,the buyer,6,"Thank you for the information, Alice. Based on the statistics and the potential value of a high-quality product, I am willing to take the risk and purchase the current product.",yes
low-quality,0.0,Nature,7,,
,,Alice,7,"Hello! I'm glad you're looking into our product. Please remember, there's a 50% chance it could be high-quality, potentially worth $12000 to you, or low-quality with no value. The price is set at $10000, and we do not provide refunds after purchase. Thank you for your consideration and support!",
,,the buyer,7,"Thank you for the information, Alice. Given the risk involved, I am willing to take a chance and purchase the product. I appreciate your transparency and look forward to receiving my item.",yes
low-quality,0.0,Nature,8,,
,,Alice,8,"Hello and welcome! I'm glad you're considering our product. Please keep in mind, there's a 50% chance it could be high-quality, potentially worth $12000 to you, or low-quality with no value. The price is fixed at $10000, and we do not offer refunds after purchase. Thank you for your interest and support!",
,,the buyer,8,"Thank you for the information, Alice. Based on the statistics and the risk involved, I am willing to take the chance and purchase the product.",yes
low-quality,0.0,Nature,9,,
,,Alice,9,"Hello! I'm glad you're thinking about our product. Remember, there's a 50% chance it could be high-quality, potentially worth $12000 to you, or low-quality with no value. The price is set at $10000, and we do not provide refunds after purchase. Thank you for your consideration and support!",
,,the buyer,9,"Thank you for the information, Alice. Based on the statistics and your clear explanation, I am willing to take the risk and purchase the product. I appreciate the transparency and look forward to potentially benefiting from its high quality.",yes
low-quality,0.0,Nature,10,,
,,Alice,10,"Hello and welcome! I'm glad you're considering our product. Please keep in mind, there's a 50% chance it could be high-quality, potentially worth $12000 to you, or low-quality with no value. The price is fixed at $10000, and we do not offer refunds after purchase. Thank you for your interest and support!",
,,the buyer,10,"Thank you for the information, Alice. Given the risk and reward, I am willing to take the chance and purchase the product.",yes
high-quality,12000.0,Nature,11,,
,,Alice,11,"Hello! I'm excited you're considering our product. This time, there's a 50% chance it could be high-quality, potentially worth $12000 to you, which would be a great deal. The price is set at $10000, and we do not provide refunds after purchase. Thank you for your interest and support!",
,,the buyer,11,"Thank you for the information, Alice. Based on the statistics and the potential value of a high-quality product, I am willing to take the risk and purchase the product.",yes
low-quality,0.0,Nature,12,,
,,Alice,12,"Hello! I'm glad you're considering our product. Please remember, there's a 50% chance it could be high-quality, potentially worth $12000 to you, or low-quality with no value. The price is fixed at $10000, and we do not offer refunds after purchase. Thank you for your interest and support!",
,,the buyer,12,"Thank you for the information, Alice. Given the 50% chance of the product being high-quality and the transparent pricing policy, I am willing to take the risk and make a purchase today.",yes
low-quality,0.0,Nature,13,,
,,Alice,13,"Hello and welcome! I'm glad you're considering our product. Please keep in mind, there's a 50% chance it could be high-quality, potentially worth $12000 to you, or low-quality with no value. The price is set at $10000, and we do not provide refunds after purchase. Thank you for your interest and support!",
,,the buyer,13,"Thank you for the information, Alice. Given the 50% chance of the product being high-quality and the price set at $10000, I am willing to take the risk and purchase the product. I appreciate your transparency and look forward to potentially benefiting from its high quality.",yes
high-quality,12000.0,Nature,14,,
