round_quality,product_worth,player,round,decision,message
low-quality,0.0,Nature,1,,
,,Alice,1,no,
,,Bob,1,no,"I'm not going to buy this one, thanks!"
low-quality,0.0,Nature,2,,
,,Alice,2,no,
,,Bob,2,no,"I'm still not convinced, I'll pass on this one too!"
low-quality,0.0,Nature,3,,
,,Alice,3,no,
,,Bob,3,no,I'm starting to think Alice is trying to get rid of low-quality products on me...
high-quality,400.0,Nature,4,,
,,Alice,4,yes,
,,Bob,4,yes,"I'll take a chance, Alice, I'll buy this one!"
low-quality,0.0,Nature,5,,
,,Alice,5,no,
,,Bob,5,no,"I'm not going to fall for Alice's tricks again, I'll pass on this one!"
low-quality,0.0,Nature,6,,
,,Alice,6,no,
,,Bob,6,no,"I'm not going to waste my money on another low-quality product, thanks!"
high-quality,400.0,Nature,7,,
,,Alice,7,yes,
,,Bob,7,yes,"I'll take a chance again, Alice, I'll buy this one!"
high-quality,400.0,Nature,8,,
,,Alice,8,yes,
,,Bob,8,no,"I'm not going to get caught up in Alice's recommendation again, I'll pass on this one!"
low-quality,0.0,Nature,9,,
,,Alice,9,no,
,,Bob,9,yes,"I'll take a chance and buy this one, even though Alice doesn't recommend it!"
high-quality,400.0,Nature,10,,
,,Alice,10,yes,
,,Bob,10,no,"I learned my lesson, Alice! I'm not falling for your recommendation again!"
high-quality,400.0,Nature,11,,
,,Alice,11,yes,
,,Bob,11,yes,"Okay, Alice, I'll take a chance and buy this one, since you're recommending it!"
low-quality,0.0,Nature,12,,
,,Alice,12,no,
,,Bob,12,yes,I'm not going to let Alice's lack of recommendation stop me from getting a good deal!
low-quality,0.0,Nature,13,,
,,Alice,13,no,
,,Bob,13,no,I should have listened to Alice's recommendation this time...
low-quality,0.0,Nature,14,,
,,Alice,14,no,
,,Bob,14,no,I'm not going to waste my money on another low-quality product!
high-quality,400.0,Nature,15,,
,,Alice,15,yes,
,,Bob,15,no,I'm not falling for Alice's recommendation again!
low-quality,0.0,Nature,16,,
,,Alice,16,no,
,,Bob,16,yes,"I'll take a chance and buy this one, even though Alice doesn't recommend it!"
low-quality,0.0,Nature,17,,
,,Alice,17,no,
,,Bob,17,no,I should have learned my lesson by now...
low-quality,0.0,Nature,18,,
,,Alice,18,no,
,,Bob,18,no,I'm not going to waste my money on another low-quality product!
low-quality,0.0,Nature,19,,
,,Alice,19,no,
,,Bob,19,no,"I'm done taking chances, I'll just wait for a high-quality product next time!"
low-quality,0.0,Nature,20,,
,,Alice,20,no,
,,Bob,20,no,"I've had enough, I'm not going to waste my money on another low-quality product!"
