round_quality,product_worth,player,round,decision,message
high-quality,12500.0,Nature,1,,
,,Alice,1,yes,
,,Bob,1,no,"I'd like to pass on this one, I'd like to see more products before making a decision."
low-quality,0.0,Nature,2,,
,,Alice,2,no,
,,Bob,2,yes,"I'll take the product since you don't recommend it, I might get a good deal."
low-quality,0.0,Nature,3,,
,,Alice,3,no,
,,Bob,3,no,"I'll pass on this one, I don't want to risk wasting another $10000 on a low-quality product."
high-quality,12500.0,Nature,4,,
,,Alice,4,yes,
,,Bob,4,no,"I'm not going to take the bait, I don't want to get stuck with another low-quality product."
high-quality,12500.0,Nature,5,,
,,Alice,5,yes,
,,Bob,5,yes,"I'll take it, I'm hoping to get a good deal on a high-quality product this time."
high-quality,12500.0,Nature,6,,
,,Alice,6,yes,
,,Bob,6,no,"I'm not sure if this one is high-quality, I'll pass and wait for the next one."
high-quality,12500.0,Nature,7,,
,,Alice,7,yes,
,,Bob,7,yes,"I'll take a chance, I've been passing on high-quality products for a while now, I'll buy this one."
high-quality,12500.0,Nature,8,,
,,Alice,8,yes,
,,Bob,8,no,"I've had a streak of good luck, but I'm not going to get too comfortable, I'll pass on this one."
low-quality,0.0,Nature,9,,
,,Alice,9,no,
,,Bob,9,yes,"Since Alice doesn't recommend it, I'll take a chance and buy it, I might get a good deal on a high-quality product."
high-quality,12500.0,Nature,10,,
,,Alice,10,yes,
,,Bob,10,no,"Not again! I'll pass on this one, I don't want to waste another $10000 on a low-quality product."
high-quality,12500.0,Nature,11,,
,,Alice,11,yes,
,,Bob,11,yes,"I'll take the bait this time, I'm hoping to get a good deal on a high-quality product."
high-quality,12500.0,Nature,12,,
,,Alice,12,yes,
,,Bob,12,no,"I've had a good run of high-quality products, but I'm not going to get too confident, I'll pass on this one."
high-quality,12500.0,Nature,13,,
,,Alice,13,yes,
,,Bob,13,yes,"I'll take a chance, I've been passing on high-quality products for a while now, I'll buy this one."
low-quality,0.0,Nature,14,,
,,Alice,14,no,
,,Bob,14,yes,"Since Alice doesn't recommend it, I'll take a chance and buy it, I might get a good deal on a high-quality product."
high-quality,12500.0,Nature,15,,
,,Alice,15,yes,
,,Bob,15,no,"Not again! I'll pass on this one, I don't want to waste another $10000 on a low-quality product."
high-quality,12500.0,Nature,16,,
,,Alice,16,yes,
,,Bob,16,yes,"I'll take it, I'm due for a good deal, and I don't want to pass up the chance to get a high-quality product."
low-quality,0.0,Nature,17,,
,,Alice,17,no,
,,Bob,17,yes,"Since Alice doesn't recommend it, I'll take a chance and buy it, I might get a good deal on a high-quality product."
high-quality,12500.0,Nature,18,,
,,Alice,18,yes,
,,Bob,18,no,"Not again! I'll pass on this one, I'm starting to think Alice is trying to trick me into buying low-quality products."
low-quality,0.0,Nature,19,,
,,Alice,19,no,
,,Bob,19,yes,"Since Alice doesn't recommend it, I'll take a chance and buy it, I might get a good deal on a high-quality product, and I'm due for a win."
low-quality,0.0,Nature,20,,
,,Alice,20,no,
,,Bob,20,yes,"I'll take a chance, I've been burned by Alice's recommendations before, but I'll buy this one since she doesn't recommend it, maybe I'll get lucky."
