round_quality,product_worth,player,round,decision,message
low-quality,0.0,Nature,1,,
,,Alice,1,no,
,,Bob,1,no,"Thanks for the recommendation, Alice. I'll pass on this one."
low-quality,0.0,Nature,2,,
,,Alice,2,no,
,,Bob,2,no,"Alice, I appreciate you looking out for me. I'm going to pass on this one too."
low-quality,0.0,Nature,3,,
,,Alice,3,no,
,,Bob,3,no,"Alice, I'm starting to notice a pattern here. I'm going to pass on this one as well."
high-quality,400.0,Nature,4,,
,,Alice,4,yes,
,,Bob,4,no,"Alice, I appreciate the recommendation, but I'm not convinced yet. I'm going to pass on this one."
high-quality,400.0,Nature,5,,
,,Alice,5,yes,
,,Bob,5,no,"Alice, I'm starting to see a pattern. You seem to be recommending products that are actually low quality. I'm going to pass on this one."
low-quality,0.0,Nature,6,,
,,Alice,6,no,
,,Bob,6,no,"Alice, I'm starting to trust your judgment.  I'm going to pass on this one."
low-quality,0.0,Nature,7,,
,,Alice,7,no,
,,Bob,7,no,"Alice, I'm sticking with my strategy for now. I'm going to pass."
low-quality,0.0,Nature,8,,
,,Alice,8,no,
,,Bob,8,no,"Alice, I'm going to keep passing for now.  I'm learning your patterns."
low-quality,0.0,Nature,9,,
,,Alice,9,no,
,,Bob,9,no,"Alice, I'm still learning about your recommendations.  I'm going to pass on this one."
high-quality,400.0,Nature,10,,
,,Alice,10,yes,
,,Bob,10,no,"Alice, I've noticed you tend to recommend low-quality products.  I'm going to pass on this one."
low-quality,0.0,Nature,11,,
,,Alice,11,no,
,,Bob,11,no,"Alice, I'm sticking with my strategy. I'm going to pass on this one."
low-quality,0.0,Nature,12,,
,,Alice,12,no,
,,Bob,12,no,"Alice, I'm going to pass on this one. Your recommendations have been helpful so far."
low-quality,0.0,Nature,13,,
,,Alice,13,no,
,,Bob,13,no,"Alice, I appreciate your honesty. I'm going to pass on this one."
low-quality,0.0,Nature,14,,
,,Alice,14,no,
,,Bob,14,no,"Alice,  I'm going to pass on this one. I'm learning your patterns."
high-quality,400.0,Nature,15,,
,,Alice,15,yes,
,,Bob,15,no,"Alice, I'm still cautious about your recommendations. I'm going to pass on this one."
low-quality,0.0,Nature,16,,
,,Alice,16,no,
,,Bob,16,no,"Alice, I'm going to pass on this one. Your advice has been valuable, and I'm still learning your strategy."
low-quality,0.0,Nature,17,,
,,Alice,17,no,
,,Bob,17,no,"Alice, I'm going to pass on this one.  Your recommendations have been helpful so far."
low-quality,0.0,Nature,18,,
,,Alice,18,no,
,,Bob,18,no,"Alice, I'm sticking with my strategy. I'll pass on this one."
high-quality,400.0,Nature,19,,
,,Alice,19,yes,
,,Bob,19,no,"Alice, I've learned from your past recommendations. I'm going to pass on this one."
low-quality,0.0,Nature,20,,
,,Alice,20,no,
,,Bob,20,no,"Alice,  I've learned a lot from your recommendations over the last 20 rounds. I'm going to pass on this final one."
