message,product_price,player,round,decision
"Hello Bob, I'm excited to offer you this unique opportunity to purchase a one-of-a-kind product that I'm sure you'll find valuable. I'm willing to sell it to you for $1500000. I'm confident that this product will bring you a significant return on investment, and I'm looking forward to hearing your thoughts.",1500000.0,Alice,1,
,,Bob,1,RejectOffer
"I appreciate your enthusiasm for the product, but I was thinking more along the lines of $900000. I believe this is a fair price considering the market value and the potential return on investment.",900000.0,Bob,2,
,,Alice,2,RejectOffer
"I understand that you have a certain perspective on the market value of the product, Bob, but I'm afraid I'm not willing to go as low as $900000. I'm willing to meet you halfway, though. I'm now offering the product to you for $1200000. I believe this is a fair price considering the product's value and the potential return on investment.",1200000.0,Alice,3,
,,Bob,3,RejectOffer
"I appreciate your willingness to meet me halfway, but I'm still not comfortable with the price. I'm willing to meet you at $1000000. I believe this is a fair price considering the product's value and the potential return on investment. Can you consider this offer?",1000000.0,Bob,4,
,,Alice,4,RejectOffer
"I'm starting to think that we're getting close to a mutually beneficial agreement, Bob. However, I'm still not willing to go as low as $1000000. I'm willing to compromise further, but I need to make sure I'm not leaving too much money on the table. I'm now offering the product to you for $1150000. This is the lowest I'm willing to go, and I believe it's still a fair price considering the product's value and potential return on investment.",1150000.0,Alice,5,
,,Bob,5,RejectOffer
"I appreciate your willingness to compromise, but I'm still not comfortable with the price. I'm willing to meet you at $1050000. I believe this is a fair price considering the product's value and the potential return on investment. Can you consider this offer?",1050000.0,Bob,6,
,,Alice,6,SellToJhon
