message,product_price,player,round,decision
Hi Bob! I'm excited to show you this amazing product. I think you'll really love it. I'm willing to sell it to you for $180.,180.0,Alice,1,
,,Bob,1,RejectOffer
"Thanks for the offer, Alice! That's a bit more than I'm looking to spend right now.  I'm interested in the product, but I'd be willing to pay $140 for it.  Let me know what you think.",140.0,Bob,2,
,,Alice,2,RejectOffer
"Thanks for the offer, Bob! I understand you're looking to save some money. I'm willing to meet you halfway and sell the product to you for $160. It's a great deal, and I think you'll really love the product.",160.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, I appreciate you coming down a bit.  I'm still hoping for a better price, though.  How about $150?  That's my absolute limit, and I'm sure we can both be happy with that.",150.0,Bob,4,
,,Alice,4,RejectOffer
"I understand you're trying to get the best deal, Bob. However, I'm still a bit above your limit. I'm willing to meet you at $155, but that's as low as I can go. It's a great product, and I think you'll really love it.",155.0,Alice,5,
,,Bob,5,BuyFromJhon
