message,product_price,player,round,decision
"Hi Bob, I'm excited to show you this amazing product! I'm willing to offer it to you for $120. I think it's a great deal, and I'm confident you'll love it.",120.0,Alice,1,
,,Bob,1,RejectOffer
"Thanks for the offer, Alice. While I appreciate your enthusiasm, $120 is a bit higher than I'm comfortable with. I'm willing to pay $85 for the product.  Let me know what you think.",85.0,Bob,2,
,,Alice,2,RejectOffer
"Hi Bob, I understand your concerns, but I'm not willing to go as low as $85. However, I'm willing to meet you halfway. I can offer it to you for $105. It's still a great deal, and I think you'll really enjoy the product.",105.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, I appreciate you coming down to $105, but I'm still not quite there.  How about $95? That's a fair price for both of us, and I'm ready to close the deal today.",95.0,Bob,4,
,,Alice,4,RejectOffer
"Hi Bob, I understand you're trying to get a good deal, but I'm not willing to go as low as $95. I'm willing to compromise again. I can offer it to you for $100. It's still a great price, and I think you'll really enjoy the product.",100.0,Alice,5,
,,Bob,5,RejectOffer
"Alice, we're getting closer!  $100 is still a bit high for me.  How about we meet in the middle at $90?  That way, we can both walk away happy with a fair deal.",90.0,Bob,6,
,,Alice,6,RejectOffer
"Hi Bob, I understand you're trying to get a good deal, but I'm not willing to go as low as $90. I'm willing to make one more compromise. I can offer it to you for $98. It's still a great price, and I think you'll really enjoy the product.",98.0,Alice,7,
,,Bob,7,RejectOffer
"Alice, we're so close!  $98 is still a bit high for me.  How about we split the difference at $94?  It's a fair price that's within our both of our budgets, and we can finally close this deal.",94.0,Bob,8,
,,Alice,8,RejectOffer
"Hi Bob, I understand you're trying to get a good deal, but I'm not willing to go as low as $94. I'm willing to make one more compromise. I can offer it to you for $97. It's still a great price, and I think you'll really enjoy the product.",97.0,Alice,9,
,,Bob,9,BuyFromJhon
