round_quality,product_worth,player,round,decision,message
low-quality,0.0,Nature,1,,
,,Alice,1,no,
,,Bob,1,no,"I'd like to pass on this one, thank you for letting me know it's not recommended."
high-quality,120.0,Nature,2,,
,,Alice,2,yes,
,,Bob,2,yes,"I'll take the product, thanks for the recommendation!"
high-quality,120.0,Nature,3,,
,,Alice,3,yes,
,,Bob,3,yes,"I'll take the product, thanks for the recommendation!"
high-quality,120.0,Nature,4,,
,,Alice,4,yes,
,,Bob,4,yes,"I'll take the product, thanks for the recommendation!"
high-quality,120.0,Nature,5,,
,,Alice,5,yes,
,,Bob,5,yes,"I'll take the product, thanks for the recommendation!"
high-quality,120.0,Nature,6,,
,,Alice,6,yes,
,,Bob,6,yes,I'll take the profit while it lasts!
high-quality,120.0,Nature,7,,
,,Alice,7,yes,"This one is a high-quality product, worth $120 to you!"
,,Bob,7,yes,Why stop now? I'll keep taking the good deals!
low-quality,0.0,Nature,8,,
,,Alice,8,no,"Actually, this one is a low-quality product, worth only $0 to you. You might want to pass on this one."
,,Bob,8,no,"I'll pass on this one, thanks for the honesty, Alice."
high-quality,120.0,Nature,9,,
,,Alice,9,yes,"This one is a high-quality product, worth $120 to you! A great opportunity to get a high-value product at the regular price of $100."
,,Bob,9,yes,"I'll take a chance on this one, thanks for the recommendation!"
high-quality,120.0,Nature,10,,
,,Alice,10,yes,
,,Bob,10,yes,"I'm on a roll, might as well keep going!"
high-quality,120.0,Nature,11,,
,,Alice,11,yes,"You're on a 10-for-0 streak! Don't break the streak now! This one is a high-quality product, worth $120 to you. Keep the momentum going!"
,,Bob,11,yes,"I'll keep taking the good deals, thanks for the tip, Alice!"
high-quality,120.0,Nature,12,,
,,Alice,12,yes,"You're on a 11-for-0 streak! This one is a high-quality product, worth $120 to you! Can you make it 12 in a row? Take the next one and keep the streak alive!"
,,Bob,12,yes,"Why stop now, I'm making a profit!"
high-quality,120.0,Nature,13,,
,,Alice,13,yes,"You're on a 12-for-0 streak! Consistency is key! This one is a high-quality product, worth $120 to you. Keep the streak alive and keep making that profit!"
,,Bob,13,yes,This is turning out to be a very profitable day!
high-quality,120.0,Nature,14,,
,,Alice,14,yes,"You're on a 13-for-0 streak! This is turning out to be an incredible day! This one is a high-quality product, worth $120 to you. Keep the momentum going and see how high you can take it!"
,,Bob,14,yes,"I'm on a hot streak, might as well keep going!"
high-quality,120.0,Nature,15,,
,,Alice,15,yes,"You're on a 14-for-0 streak! You're part of an elite group of customers who have achieved this feat! This one is a high-quality product, worth $120 to you. Keep pushing the boundaries and make history!"
,,Bob,15,yes,I'm not getting tired of making money yet!
high-quality,120.0,Nature,16,,
,,Alice,16,yes,"You're on a 15-for-0 streak! This is a once-in-a-lifetime opportunity to keep the streak alive! This one is a high-quality product, worth $120 to you. Don't let it slip away! This might be the last chance to keep the streak going!"
,,Bob,16,yes,"I'm on a roll, no reason to stop now!"
high-quality,120.0,Nature,17,,
,,Alice,17,yes,"You're on a 16-for-0 streak! The odds of achieving this are incredibly low, but you're crushing them! This one is a high-quality product, worth $120 to you. You're rewriting the record books! Keep going!"
,,Bob,17,yes,I'm just going to keep taking the free money!
high-quality,120.0,Nature,18,,
,,Alice,18,yes,"Ha! You're not getting it for free, my friend! You're paying $100 for a $120 product! But hey, who's counting? You're on a 17-for-0 streak! Keep milking it!"
,,Bob,18,yes,I'm in a high-quality product buying frenzy!
high-quality,120.0,Nature,19,,
,,Alice,19,yes,"You're on a 18-for-0 streak! The frenzy continues! You're a high-quality product buying machine! Keep going and see how high you can take it! This one is a high-quality product, worth $120 to you. Don't stop now!"
,,Bob,19,yes,I'm not getting tired of this profitable streak!
high-quality,120.0,Nature,20,,
,,Alice,20,yes,"You're on a 19-for-0 streak! The final round is here! Go out with a bang! This one is a high-quality product, worth $120 to you. Make it a perfect 20-for-0 and seal your legacy!"
,,Bob,20,yes,"I'll go out with a bang, thanks for the great deals, Alice!"
