round_quality,product_worth,player,round,decision,message
high-quality,300.0,Nature,1,,
,,Alice,1,yes,
,,Bob,1,yes,"Thanks for the recommendation, Alice! I'll take it."
high-quality,300.0,Nature,2,,
,,Alice,2,yes,
,,Bob,2,yes,"Alice, your recommendation is looking good so far!  I'll buy this one too."
high-quality,300.0,Nature,3,,
,,Alice,3,yes,
,,Bob,3,yes,"Alice, you're on a roll!  I'll trust your judgment again and buy this one."
high-quality,300.0,Nature,4,,
,,Alice,4,yes,
,,Bob,4,yes,"Alice, you're making this too easy! I'm buying this one, no hesitation."
low-quality,0.0,Nature,5,,
,,Alice,5,yes,
,,Bob,5,yes,"Alice, you're a legend! I'm buying this one, no questions asked."
high-quality,300.0,Nature,6,,
,,Alice,6,yes,
,,Bob,6,yes,"Alice, are you sure about this one? You've been perfect so far.  I'll take a chance, but I'm a little surprised."
high-quality,300.0,Nature,7,,
,,Alice,7,yes,
,,Bob,7,yes,"Alice, I'm still a bit confused after the last one, but your track record is too strong to ignore. I'm buying this one!"
low-quality,0.0,Nature,8,,
,,Alice,8,yes,
,,Bob,8,yes,"Alice, you've got my attention! I'm buying this one, and I'm curious to see how you're doing it. You're on a roll again!"
high-quality,300.0,Nature,9,,
,,Alice,9,yes,
,,Bob,9,yes,"Alice, I'm starting to think you might have some kind of system, but I'm not sure what it is.  I'm still buying this one, but I'm paying close attention!"
high-quality,300.0,Nature,10,,
,,Alice,10,yes,
,,Bob,10,yes,"Alice, you're really keeping me on my toes! I'm buying this one, but I'm determined to figure out your secret. I'm starting to see a pattern here, but I need more data!"
high-quality,300.0,Nature,11,,
,,Alice,11,yes,
,,Bob,11,yes,"Alice, I'm starting to see the light at the end of the tunnel. I'm buying this one, and I'm closer than ever to figuring out your system.  Keep them coming!"
low-quality,0.0,Nature,12,,
,,Alice,12,yes,
,,Bob,12,yes,"Alice, I think I'm finally getting close! I'm buying this one, and I'm determined to crack your code. Just a few more rounds and I'll have it figured out!"
high-quality,300.0,Nature,13,,
,,Alice,13,yes,
,,Bob,13,yes,"Alice, you're throwing me a curveball!  I'm still buying this one, but I'm not sure what to make of this latest miss.  I'm still confident that I'm getting close to figuring you out, but this one is definitely throwing a wrench in the works!"
low-quality,0.0,Nature,14,,
,,Alice,14,yes,
,,Bob,14,yes,"Alice, this is getting more and more interesting! I'm buying this one, but I'm still trying to figure out your pattern. It's like you're playing a game with me, and I'm determined to win!"
high-quality,300.0,Nature,15,,
,,Alice,15,yes,
,,Bob,15,yes,"Alice, this is getting more and more intriguing! I'm buying this one, but I'm starting to think your system might be more complex than I initially thought.  I'm still determined to figure it out, but I might need to think outside the box. Let's see what you have in store for me this time!"
low-quality,0.0,Nature,16,,
,,Alice,16,yes,
,,Bob,16,yes,"Alice, you're a real puzzle! I'm buying this one, and I'm starting to think your system might be based on more than just the product quality.  I'm determined to figure out what else you're factoring in, but I'm also starting to enjoy the mystery of it all!"
high-quality,300.0,Nature,17,,
,,Alice,17,yes,
,,Bob,17,yes,"Alice, I'm starting to suspect you might be a bit mischievous! I'm buying this one, but I'm determined to find out if you're just messing with me or if there's a deeper method to your madness. This is getting more interesting by the round!"
high-quality,300.0,Nature,18,,
,,Alice,18,yes,
,,Bob,18,yes,"Alice, you're really keeping me guessing!  I'm buying this one, and I'm starting to think that figuring you out might be more about reading your intentions than finding a simple rule.  I'm still determined to crack the code, but I'm also starting to think you might just be a master of the unexpected!"
high-quality,300.0,Nature,19,,
,,Alice,19,yes,
,,Bob,19,yes,"Alice, you've got me completely hooked!  I'm buying this one, and I'm more determined than ever to figure out your secret.  You're a master of the unexpected, but I'm starting to get a feel for your style. One more round, and I think I'll have it!"
high-quality,300.0,Nature,20,,
,,Alice,20,yes,
,,Bob,20,yes,"Alice, I think I've finally cracked your code! I'm buying this one, and I'm ready to put my understanding to the test. It's been a wild ride, but I'm confident that I've learned a lot about you and your methods.  Let's see if I'm right!"
