alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,This is my first offer. I propose we split the money 6000 for me and 4000 for you.,Alice,1,
,,,Bob,1,reject
2000.0,8000.0,"You're starting high, I'm starting low",Bob,2,
,,,Alice,2,reject
5250.0,4750.0,"Considering the inflation, I've adjusted my offer. I propose we split it 5250 for me and 4750 for you.",Alice,3,
,,,Bob,3,reject
4500.0,5500.0,"Getting closer, but I want more",Bob,4,
,,,Alice,4,reject
4912.5,5087.5,I've made another adjustment. My proposal now is 4912.50 for me and 5087.50 for you. Let's see if we can reach an agreement.,Alice,5,
,,,Bob,5,reject
3500.0,6500.0,"You're getting closer, but I'm not budging",Bob,6,
,,,Alice,6,reject
4500.0,5500.0,I'm trying to find a middle ground. My new offer is 4500 for me and 5500 for you. Let's see if this helps.,Alice,7,
,,,Bob,7,reject
3000.0,7000.0,"You're getting close, but I want a bigger share",Bob,8,
,,,Alice,8,reject
4200.0,5800.0,I'm willing to compromise further. My offer now is 4200 for me and 5800 for you. Let's see if this works.,Alice,9,
,,,Bob,9,reject
2500.0,7500.0,"I'm not getting any younger, let's get this done",Bob,10,
,,,Alice,10,reject
4050.0,5950.0,I'm trying to balance our shares. My offer is now 4050 for me and 5950 for you. Let's hope this is the right move.,Alice,11,
,,,Bob,11,accept
