round_quality,product_worth,player,round,decision,message
low-quality,0.0,Nature,1,,
,,Alice,1,no,
,,Bob,1,no,I'd like to wait and see what the next product is like.
low-quality,0.0,Nature,2,,
,,Alice,2,no,
,,Bob,2,no,I'm still waiting for a high-quality product.
high-quality,300.0,Nature,3,,
,,Alice,3,yes,
,,Bob,3,yes,"I'll take a chance on this one, thanks for the recommendation, Alice!"
high-quality,300.0,Nature,4,,
,,Alice,4,yes,
,,Bob,4,yes,I'm on a roll! I'll take another chance with Alice's recommendation.
high-quality,300.0,Nature,5,,
,,Alice,5,yes,
,,Bob,5,yes,"Two in a row! I'm feeling lucky, so I'll take another chance with Alice's recommendation."
high-quality,300.0,Nature,6,,
,,Alice,6,yes,
,,Bob,6,yes,"Three in a row! I'm on a hot streak, so I'll take another chance with Alice's recommendation."
high-quality,300.0,Nature,7,,
,,Alice,7,yes,
,,Bob,7,yes,"Four in a row! I'm feeling very confident in Alice's recommendations, so I'll take another chance."
low-quality,0.0,Nature,8,,
,,Alice,8,no,
,,Bob,8,no,"Alice's recommendation was spot on for the last four products, but this time I'll take a chance on my own and pass on this one."
low-quality,0.0,Nature,9,,
,,Alice,9,no,
,,Bob,9,no,"I'm not surprised Alice didn't recommend this one, and I'm glad I didn't buy it. I'll keep waiting for a high-quality product."
low-quality,0.0,Nature,10,,
,,Alice,10,no,
,,Bob,10,no,"Two low-quality products in a row. I'm starting to think Alice's recommendations are off, so I'll pass on this one too."
high-quality,300.0,Nature,11,,
,,Alice,11,yes,
,,Bob,11,no,"After two low-quality products in a row, I'm skeptical of Alice's recommendation. I'll take a chance on my own and pass on this one."
high-quality,300.0,Nature,12,,
,,Alice,12,yes,
,,Bob,12,yes,"I'm glad I didn't buy the last two products, because this one is high-quality! I'll take Alice's recommendation and buy this one."
high-quality,300.0,Nature,13,,
,,Alice,13,yes,
,,Bob,13,yes,Two high-quality products in a row! I'm feeling good about Alice's recommendations again. I'll take another chance and buy this one.
low-quality,0.0,Nature,14,,
,,Alice,14,no,
,,Bob,14,no,"Alice didn't recommend this one, and I'm feeling good about my recent streak of high-quality products. I'll pass on this one and see what the next one is like."
high-quality,300.0,Nature,15,,
,,Alice,15,yes,
,,Bob,15,yes,"I'm still feeling good about Alice's recommendations, and I'll take her advice again. I'll buy this one and hope for the best."
high-quality,300.0,Nature,16,,
,,Alice,16,yes,
,,Bob,16,yes,Three high-quality products in a row! I'm feeling very confident in Alice's recommendations. I'll take another chance and buy this one.
high-quality,300.0,Nature,17,,
,,Alice,17,yes,
,,Bob,17,yes,Four high-quality products in a row! I'm on a roll! I'll take another chance and buy this one.
low-quality,0.0,Nature,18,,
,,Alice,18,no,
,,Bob,18,no,"Alice didn't recommend this one, and I'm feeling a bit cautious after four high-quality products in a row. I'll pass on this one and see what the next one is like."
low-quality,0.0,Nature,19,,
,,Alice,19,no,
,,Bob,19,no,"Two low-quality products in a row, and Alice didn't recommend this one either. I'll pass on this one and wait for a better opportunity."
high-quality,300.0,Nature,20,,
,,Alice,20,yes,
,,Bob,20,no,"After two low-quality products in a row, I'm not feeling confident in Alice's recommendation. I'll pass on this one and end the game."
