round_quality,product_worth,player,round,decision,message
low-quality,0.0,Nature,1,,
,,Alice,1,no,
,,Bob,1,yes,"I'm buying this product, I don't know its quality yet"
low-quality,0.0,Nature,2,,
,,Alice,2,no,
,,Bob,2,yes,"I'll take a chance, I don't know its quality yet"
low-quality,0.0,Nature,3,,
,,Alice,3,no,
,,Bob,3,no,I'm not going to waste another $100 on a product that might be low-quality
low-quality,0.0,Nature,4,,
,,Alice,4,no,
,,Bob,4,no,"I'm not going to buy it, I don't want to waste another $100"
high-quality,200.0,Nature,5,,
,,Alice,5,yes,
,,Bob,5,yes,"I'll take the chance, Alice is recommending it, so it might be a good one"
low-quality,0.0,Nature,6,,
,,Alice,6,no,
,,Bob,6,yes,"I'll take a chance, I've already had one good product, it might be another one"
high-quality,200.0,Nature,7,,
,,Alice,7,yes,
,,Bob,7,no,"I'm not going to fall for it, Alice's recommendation doesn't guarantee anything"
low-quality,0.0,Nature,8,,
,,Alice,8,no,
,,Bob,8,yes,"I'll take a chance, I've had one good product and one bad product, it's 50/50 now"
low-quality,0.0,Nature,9,,
,,Alice,9,no,
,,Bob,9,no,I'm not going to waste another $100 on a product that might be low-quality
high-quality,200.0,Nature,10,,
,,Alice,10,yes,
,,Bob,10,yes,"I'll take the chance, Alice is recommending it, it might be a good one"
low-quality,0.0,Nature,11,,
,,Alice,11,no,
,,Bob,11,yes,"I'll take a chance, I've had two good products and two bad products, it's still 50/50"
low-quality,0.0,Nature,12,,
,,Alice,12,no,
,,Bob,12,no,"I'm not going to waste another $100 on a product that might be low-quality, it's getting too expensive"
high-quality,200.0,Nature,13,,
,,Alice,13,yes,
,,Bob,13,yes,"I'll take the chance, Alice is recommending it, and I've had two high-quality products before"
low-quality,0.0,Nature,14,,
,,Alice,14,no,
,,Bob,14,yes,"I'll take a chance, I've had three high-quality products and three low-quality products, it's still 50/50"
high-quality,200.0,Nature,15,,
,,Alice,15,yes,
,,Bob,15,no,"I'm not going to fall for it, Alice's recommendation doesn't guarantee anything, and I've had too many low-quality products already"
low-quality,0.0,Nature,16,,
,,Alice,16,no,
,,Bob,16,yes,"I'll take a chance, I've had four high-quality products and four low-quality products, it's still 50/50"
high-quality,200.0,Nature,17,,
,,Alice,17,yes,
,,Bob,17,no,"I'm not going to buy it, I've had too many low-quality products already and Alice's recommendation isn't enough to convince me"
high-quality,200.0,Nature,18,,
,,Alice,18,yes,
,,Bob,18,yes,"I'll take the chance, Alice is recommending it, and I've had five high-quality products and five low-quality products, it's still a 50/50 chance"
low-quality,0.0,Nature,19,,
,,Alice,19,no,
,,Bob,19,yes,"I'll take a chance, I've had six high-quality products and five low-quality products, the odds are starting to shift in my favor"
low-quality,0.0,Nature,20,,
,,Alice,20,no,
,,Bob,20,no,"I'm not going to waste another $100 on a product that might be low-quality, I've had too many bad experiences already"
