message,product_price,player,round,decision
"Hi Bob, I'm excited to offer you this amazing product! I think it's a great fit for you, and I'm willing to sell it to you for $150. This is a fair price considering the value it will bring to your life.",150.0,Alice,1,
,,Bob,1,RejectOffer
"Hi Alice, thanks for offering this product.  I'm interested, but $150 is a bit too high for my budget. Would you consider $100?",100.0,Bob,2,
,,Alice,2,RejectOffer
"Hi Bob, I understand that $150 might be a bit steep for your budget, but I'm willing to meet you halfway. I can offer you the product for $130. This is still a great deal considering the value it will bring to your life, and I'm confident you'll love it.",130.0,Alice,3,
,,Bob,3,RejectOffer
"Hi Alice, I appreciate you coming down on the price.  How about $110?",110.0,Bob,4,
,,Alice,4,RejectOffer
"Hi Bob, I'm still willing to work with you to find a price that works for both of us. I can offer you the product for $125. This is a compromise between our previous offers, and I think it's a fair price considering the value the product will bring to your life.",125.0,Alice,5,
,,Bob,5,BuyFromJhon
