message,product_price,player,round,decision
"I'm excited to offer you this incredible product, and I believe it's a great opportunity for both of us to make a fantastic deal. I'm willing to start with a price of $1400000. What are your thoughts?",1400000.0,Alice,1,
,,Bob,1,RejectOffer
"I'm interested in the product, but I was thinking more along the lines of $1300000. Can you meet me at that price?",1300000.0,Bob,2,
,,Alice,2,RejectOffer
"I appreciate your interest in the product, and I'm happy to negotiate further. However, I was thinking more along the lines of $1350000. This is a fair price considering the value the product will bring to you. What are your thoughts?",1350000.0,Alice,3,
,,Bob,3,RejectOffer
"I'm still interested in the product, but I think $1350000 is a bit steep. I'm willing to meet you halfway at $1325000. Can you consider that?",1325000.0,Bob,4,
,,Alice,4,RejectOffer
"I appreciate your willingness to meet me halfway, but I'm still a bit hesitant to go that low. I'm willing to compromise, but I need to get closer to my target. How about we meet at $1337500? It's a slight concession from my previous offer, but I think it's a fair price considering the value the product will bring to you.",1337500.0,Alice,5,
,,Bob,5,RejectOffer
"I appreciate your willingness to compromise, but I'm still a bit hesitant to go up to $1337500. I'm willing to meet you at $1325000, but I'd like to make a slight concession to $1330000. Can you consider that?",1330000.0,Bob,6,
,,Alice,6,RejectOffer
"I appreciate your persistence, Bob, and I'm willing to meet you at $1330000. However, I'd like to make a slight concession to $1328000. I think this is a fair price that balances our interests. What are your thoughts?",1328000.0,Alice,7,
,,Bob,7,RejectOffer
"I appreciate your concession, Alice, but I'm still a bit short of my target. I'm willing to meet you at $1327500. Can you consider that?",1327500.0,Bob,8,
,,Alice,8,RejectOffer
"I appreciate your persistence, Bob, and I'm willing to meet you at $1327500. However, I'd like to make a slight concession to $1326250. I think this is a fair price that balances our interests, and I'm getting close to my target. What are your thoughts?",1326250.0,Alice,9,
,,Bob,9,RejectOffer
"I appreciate your concessions, Alice, but I'm still a bit short of my target. I'm willing to meet you at $1325000. This is my final offer, and I hope we can come to an agreement.",1325000.0,Bob,10,
,,Alice,10,RejectOffer
