message,product_price,player,round,decision
"Hello Bob, I'm excited to offer you this great product! I think you'll really like it. I'm willing to sell it to you for $150.",150.0,Alice,1,
,,Bob,1,RejectOffer
"Alice, I appreciate the offer, but $150 is a bit steep for me. I'm willing to pay $85 for the product. Let me know what you think.",85.0,Bob,2,
,,Alice,2,RejectOffer
"Thanks for the offer, Bob! I understand that $150 is a bit high for you. I'm willing to meet you in the middle, but I need to make a profit. How about $125?",125.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, I appreciate you coming down a bit, but $125 is still a bit too high for me. I'm happy to pay $100. This is a fair price for both of us, and it allows you to make a profit.",100.0,Bob,4,
,,Alice,4,RejectOffer
"I understand that $100 is still a bit low for me, but I'm willing to compromise. How about $115? I think that's a fair price that works for both of us.",115.0,Alice,5,
,,Bob,5,BuyFromJhon
