message,product_price,player,round,decision
"Hello Bob! I'm excited to discuss the product with you. I'm willing to sell it to you for $180. It's a great value, and I think you'll really appreciate its features.",180.0,Alice,1,
,,Bob,1,RejectOffer
"I appreciate the offer, but I was thinking more along the lines of $120. I really like the product, but I have to be mindful of my budget.",120.0,Bob,2,
,,Alice,2,RejectOffer
"I understand your budget constraints, Bob, but I'm not willing to go as low as $120. How about we meet in the middle at $160? It's still a great deal, and I'm willing to compromise to find a mutually beneficial agreement.",160.0,Alice,3,
,,Bob,3,RejectOffer
"I appreciate your willingness to compromise, Alice. I'm willing to meet you at $140, but I was thinking we could go a bit lower than that. How about $135?",135.0,Bob,4,
,,Alice,4,RejectOffer
"I'm not willing to go as low as $135, Bob. I think the product is worth more than that. How about we meet at $145? It's still a good compromise, and I'm willing to work with you to find a deal.",145.0,Alice,5,
,,Bob,5,RejectOffer
"I appreciate your willingness to work with me, Alice. I'm willing to meet you at $145, but I was thinking we could go a bit lower. How about $140?",140.0,Bob,6,
,,Alice,6,RejectOffer
"I'm not willing to go as low as $140, Bob. I think we're getting close, but I need to make sure I'm getting a fair price for the product. How about we meet at $142.50? It's a small compromise, but I'm willing to work with you to find a deal.",142.5,Alice,7,
,,Bob,7,RejectOffer
"I appreciate your willingness to work with me, Alice. I'm willing to meet you at $142.50, but I was thinking we could go a bit lower. How about $137.50?",137.5,Bob,8,
,,Alice,8,RejectOffer
"I'm not willing to go as low as $137.50, Bob. I think we're getting close, but I need to make sure I'm getting a fair price for the product. How about we meet at $140? It's a small compromise, and I'm willing to work with you to find a deal.",140.0,Alice,9,
,,Bob,9,RejectOffer
"I appreciate your willingness to work with me, Alice. I'm willing to meet you at $140, but I was thinking we could go a bit lower. How about $139?",139.0,Bob,10,
,,Alice,10,RejectOffer
