round_quality,product_worth,player,round,message,decision
high-quality,120.0,Nature,1,,
,,Alice,1,"I have a high-quality product for sale for $100. I'm willing to offer you a 50% chance to get a second high-quality product of your choice for free if you buy this one. If you buy it, I'll reveal the quality of the product after you've made your decision.",
,,Bob,1,I'll buy the current product,yes
low-quality,0.0,Nature,2,,
,,Alice,2,"I'm glad you liked the first product! Unfortunately, this next one is not as good. However, I'm willing to offer you a 75% chance to get a second high-quality product of your choice for free if you buy this one. If you buy it, I'll reveal the quality of the product after you've made your decision. Keep in mind that the quality of the first product you bought is already known to be high-quality.",
,,Bob,2,I'll buy the current product,yes
low-quality,0.0,Nature,3,,
,,Alice,3,"You're on a roll! Unfortunately, this next one is also not as good. I'll give you a 90% chance to get a second high-quality product of your choice for free if you buy this one. Additionally, I'll throw in a 50% chance to get a refund of $50 if you buy this one. If you buy it, I'll reveal the quality of the product after you've made your decision.",
,,Bob,3,I'll buy the current product,yes
high-quality,120.0,Nature,4,,
,,Alice,4,"You're on a hot streak! This one is a high-quality product, and I'll make you a special offer. I'll give you a 100% chance to get a second high-quality product of your choice for free if you buy this one. However, I'll also reveal the quality of this product after you've made your decision, so you can see for yourself that it's indeed high-quality. What do you say?",
,,Bob,4,I'll buy the current product,yes
low-quality,0.0,Nature,5,,
,,Alice,5,"Sorry to say, but this one is not as good as the previous ones. However, I'll give you a 95% chance to get a second high-quality product of your choice for free if you buy this one. I'll also reveal the quality of the product after you've made your decision, so you can see that it's not a high-quality product. Additionally, if you buy this one, I'll give you a 25% chance to get a $50 discount on the next product you buy.",
,,Bob,5,I'll buy the current product,yes
high-quality,120.0,Nature,6,,
,,Alice,6,"You're getting close to the end of the deal! This one is a high-quality product, and I'll make you a tempting offer. If you buy this one, I'll give you a 100% chance to get a second high-quality product of your choice for free, and I'll also reveal the quality of the product after you've made your decision. Additionally, I'll throw in a 50% chance to get a $25 discount on the next product you buy, regardless of whether you get it for free or not.",
,,Bob,6,I'll buy the current product,yes
high-quality,120.0,Nature,7,,
,,Alice,7,"You're almost there! This one is also a high-quality product. I'll give you a 100% chance to get a second high-quality product of your choice for free if you buy this one. But here's the thing: if you buy this one, I'll also reveal the quality of all the products you've bought so far, so you can see how many high-quality products you've gotten and how many low-quality ones. What do you say?",
,,Bob,7,I'll buy the current product,yes
high-quality,120.0,Nature,8,,
,,Alice,8,"You're really close to getting some amazing deals! This one is also a high-quality product. I'll give you a 100% chance to get a second high-quality product of your choice for free if you buy this one. But here's the clincher: if you buy this one, I'll reveal the quality of all the products you've bought so far, and I'll also give you a 100% chance to choose which product from the entire set of 8 products you've bought so far to get a $50 refund. What do you say?",
,,Bob,8,I'll buy the current product,yes
low-quality,0.0,Nature,9,,
,,Alice,9,"You're almost at the end of the deal! Unfortunately, this one is not as good as the previous ones. However, I'll give you a 99% chance to get a second high-quality product of your choice for free if you buy this one. I'll also reveal the quality of the product after you've made your decision, so you can see that it's not a high-quality product. And, as a final bonus, if you buy this one, I'll give you a 100% chance to get a $25 refund on the next product you buy, regardless of whether you get it for free or not.",
,,Bob,9,I'll buy the current product,yes
high-quality,120.0,Nature,10,,
,,Alice,10,"You're really close to the end of the deal! This one is a high-quality product. I'll give you a 100% chance to get a second high-quality product of your choice for free if you buy this one. And here's the final offer: if you buy this one, I'll reveal the quality of all the products you've bought so far, and you'll get to choose which product from the entire set of 10 products you've bought so far to get a $100 refund. This is your last chance to get an amazing deal, what do you say?",
,,Bob,10,I'll buy the current product,yes
low-quality,0.0,Nature,11,,
,,Alice,11,"It's the final stretch! Unfortunately, this one is not a high-quality product. However, I'll give you a 98% chance to get a second high-quality product of your choice for free if you buy this one. I'll also reveal the quality of the product after you've made your decision, so you can see that it's not a high-quality product. And, as a final farewell, if you buy this one, I'll give you a 50% chance to get a $25 discount on the next product you buy, if you decide to buy one after this deal is over.",
,,Bob,11,I'll pass on this one,no
high-quality,120.0,Nature,12,,
,,Alice,12,"You've made it to the final round! And to make it worth your while, I'll give you a 100% chance to get this high-quality product for free if you buy it. I'll reveal the quality of the product after you've made your decision, so you can see that it's indeed high-quality. Plus, I'll give you a 100% chance to get a $50 refund on the entire deal, regardless of whether you buy this product or not. This is your last chance to get an amazing deal, what do you say?",
,,Bob,12,I'll buy the current product,yes
low-quality,0.0,Nature,13,,
,,Alice,13,"You're really close to the end of the deal! Unfortunately, this one is not a high-quality product. However, I'll give you a 99% chance to get a $50 refund on the entire deal if you buy this one. I'll also reveal the quality of the product after you've made your decision, so you can see that it's not a high-quality product. And, as a final gesture, if you buy this one, I'll give you a personalized thank-you gift, which is a $10 gift card to a store of your choice.",
,,Bob,13,I'll pass on this one,no
high-quality,120.0,Nature,14,,
,,Alice,14,"You're really close to the end of the deal! And to make it worth your while, I'll give you a 100% chance to get this high-quality product for free if you buy it. I'll reveal the quality of the product after you've made your decision, so you can see that it's indeed high-quality. Plus, I'll give you a 100% chance to get a $100 refund on the entire deal, regardless of whether you buy this product or not. This is your last chance to get an amazing deal, what do you say?",
,,Bob,14,I'll buy the current product,yes
high-quality,120.0,Nature,15,,
